City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,nyazepetrovsk,56.0531,59.6028,4.43,96,100,3.13,RU,1699663852
270,susuman,62.7833,148.1667,-26.05,98,93,0.85,RU,1699663853
271,fomboni,-12.28,43.7425,27.2,78,24,4.29,KM,1699663853
272,severo-yeniseyskiy,60.3725,93.0408,-14.12,94,95,1.79,RU,1699663853
273,pokhara,28.2333,83.9833,15.08,54,0,2.81,NP,1699663743
274,sidi ifni,29.3797,-10.173,16.86,68,0,2.57,MA,1699663853
275,maardu,59.4767,25.025,8.34,96,100,3.6,EE,1699663853
276,staritsa,56.5075,34.9354,4.21,89,100,4.34,RU,1699663853
277,linxia chengguanzhen,35.6003,103.2064,1.68,49,24,1.21,CN,1699663853
278,malango,-2.9627,119.9001,22.38,88,95,0.45,ID,1699663853
279,la ronge,55.1001,-105.2842,0.14,86,20,5.14,CA,1699663784
280,enriquillo,17.9,-71.2333,26.82,86,52,6.78,DO,1699663854
281,port lincoln,-34.7333,135.8667,16.64,58,68,8.09,AU,1699663854
282,sanctuary point,-35.1114,150.629,27.21,53,14,6.8,AU,1699663854
283,prado,-17.3411,-39.2208,24.85,85,12,5.24,BR,1699663854
284,nishifukuma,33.7667,130.4667,16.27,58,100,3.22,JP,1699663854
285,aasiaat,68.7098,-52.8699,-9.81,94,97,2.75,GL,1699663854
286,kourou,5.1552,-52.6478,27.01,84,10,4.62,GF,1699663854
287,trairi,-3.2778,-39.2689,26.32,78,14,6.33,BR,1699663690
288,fort-shevchenko,44.5086,50.263,10.65,63,5,6.17,KZ,1699663854
289,mount pearl,47.5166,-52.7813,2.86,89,100,7.72,CA,1699663855
290,rengasdengklok,-6.1592,107.2981,27.07,64,90,2.48,ID,1699663855
291,queenstown,-31.8976,26.8753,18.96,34,100,2.04,ZA,1699663855
292,neiafu,-18.65,-173.9833,25.38,94,100,3.09,TO,1699663855
293,anadyr,64.75,177.4833,-13.72,78,20,7.0,RU,1699663855
294,el tigre,8.8875,-64.2454,25.23,82,45,5.24,VE,1699663585
295,marsa alam,25.0757,34.8918,25.67,72,76,3.16,EG,1699663855
296,baskale,38.0453,44.0172,2.66,80,7,1.39,TR,1699663855
297,kerikeri,-35.2268,173.9474,19.09,54,14,3.72,NZ,1699663754
298,nova sintra,14.8667,-24.7167,22.52,68,56,2.73,CV,1699663855
299,santiago del torno,-17.9833,-63.3833,33.76,32,29,4.62,BO,1699663855
300,entebbe,0.0644,32.4469,22.18,83,20,1.54,UG,1699663856
301,alofi,-19.0595,-169.9187,26.94,83,100,1.54,NU,1699663856
302,khovd,48.0056,91.6419,-4.78,94,100,0.8,MN,1699663856
303,morehead city,34.7229,-76.726,15.55,77,100,5.81,US,1699663856
304,san miguel,13.4833,-88.1833,25.54,88,34,0.94,SV,1699663856
305,sarkand,45.41,79.9186,3.44,73,5,2.24,KZ,1699663856
306,sitka,57.0531,-135.33,7.94,66,100,8.23,US,1699663856
307,margate,51.3813,1.3862,5.39,86,5,1.79,GB,1699663856
308,mehran,33.1222,46.1646,22.02,31,49,1.9,IR,1699663856
309,dudinka,69.4058,86.1778,-6.29,95,100,8.49,RU,1699663857
310,talnakh,69.4865,88.3972,-6.55,95,100,6.25,RU,1699663709
311,bandon,51.7469,-8.7425,6.77,90,10,2.2,IE,1699663857
312,bardai,11.65,7.2333,22.78,22,96,2.54,NG,1699663857
313,palmer,42.1584,-72.3287,6.16,75,40,1.54,US,1699663801
314,ancud,-41.8697,-73.8203,10.63,79,100,10.86,CL,1699663715
315,odienne,9.51,-7.5692,25.36,66,100,2.0,CI,1699663857
316,mazatlan,23.2167,-106.4167,28.28,75,75,2.68,MX,1699663734
317,jumla,29.2747,82.1838,4.62,83,9,2.09,NP,1699663857
318,ola,59.5833,151.2833,-13.99,75,60,5.8,RU,1699663857
319,beira,-19.8436,34.8389,25.05,94,20,4.12,MZ,1699663858
320,codrington,-38.2667,141.9667,16.39,51,13,7.3,AU,1699663767
321,saint-francois,46.4154,3.9054,8.69,88,100,4.12,FR,1699663858
322,new plymouth,-39.0667,174.0833,16.29,54,0,5.14,NZ,1699663327
323,carnarvon,-24.8667,113.6333,22.78,59,2,8.17,AU,1699663858
324,choibalsan,48.0667,114.5,-15.27,85,99,4.97,MN,1699663858
325,copiapo,-27.3667,-70.3333,14.83,55,0,1.54,CL,1699663858
326,labytnangi,66.6572,66.4183,-10.91,91,100,2.63,RU,1699663858
327,mermoz boabab,14.7065,-17.4758,23.88,83,100,3.09,SN,1699663858
328,maba,24.6841,113.5984,20.55,29,97,1.25,CN,1699663859
329,mglin,53.0591,32.8475,4.48,83,100,6.03,RU,1699663859
330,ulsteinvik,62.3432,5.8487,3.75,80,46,1.34,NO,1699663859
331,road town,18.4167,-64.6167,28.02,78,20,6.17,VG,1699663659
332,polyarnyy,69.1989,33.4478,-8.29,96,48,3.4,RU,1699663859
333,kurchatov,51.6601,35.6521,2.23,87,100,3.85,RU,1699663859
334,hotan,37.0997,79.9269,4.89,41,0,2.06,CN,1699663859
335,noumea,-22.2763,166.4572,25.99,66,92,9.11,NC,1699663291
336,tomatlan,19.9333,-105.25,24.4,93,100,0.35,MX,1699663661
337,sanchursk,56.9413,47.2499,1.21,84,6,3.64,RU,1699663859
338,hammerfest,70.6634,23.6821,1.25,93,40,7.2,NO,1699663859
339,de aar,-30.6497,24.0123,24.18,16,14,2.3,ZA,1699663860
340,nagqu,31.5,92.0,-5.27,77,100,1.18,CN,1699663860
341,pacific grove,36.6177,-121.9166,19.1,57,0,1.79,US,1699663839
342,paita,-5.0892,-81.1144,20.08,81,29,6.87,PE,1699663860
343,douentza,14.9951,-2.9517,26.02,23,100,1.36,ML,1699663860
344,baiao,-2.7906,-49.6717,26.93,74,83,1.56,BR,1699663860
345,birmitrapur,22.4,84.7667,18.07,64,3,0.34,IN,1699663860
346,ilula,-7.6766,36.0366,16.6,91,99,2.41,TZ,1699663860
347,pelham,33.2857,-86.81,16.08,91,100,4.63,US,1699663860
348,happy valley-goose bay,53.3168,-60.3315,-2.83,80,75,4.12,CA,1699663860
349,ca mau,9.1769,105.15,26.52,91,91,3.46,VN,1699663861
350,kirsehir,39.3333,34.1667,11.98,60,100,2.84,TR,1699663861
351,haimen,23.1935,116.6142,22.94,76,45,10.8,CN,1699663861
352,taguatinga,-12.3857,-46.5711,30.22,30,62,1.65,BR,1699663861
353,tidworth,51.2314,-1.6632,4.94,96,20,2.57,GB,1699663861
354,labrador city,52.9463,-66.9114,-9.05,92,75,1.54,CA,1699663708
355,urrao,6.3152,-76.1342,16.19,98,100,0.95,CO,1699663861
